Boardsize:	Sequential:		Parallel_for:		Fork_join:		Lookahead:
 4 x 4		 237349(ns)		 1687566(ns)		 1191995(ns)		1
 5 x 5		 937851(ns)		 1245683(ns)		 1292977(ns)		1
 6 x 6		 4545743(ns)		 3887809(ns)		 3805115(ns)		1
 7 x 7		 6020061(ns)		 4080998(ns)		 3850037(ns)		1
 8 x 8		 18977768(ns)		 7614202(ns)		 7724095(ns)		1
 9 x 9		 41453683(ns)		 14542768(ns)		 14334971(ns)		1
 10 x 10	 113710089(ns)		 33499678(ns)		 33149243(ns)		1

 4 x 4		 348082(ns)		 959378(ns)		 957571(ns)		2
 5 x 5		 2430907(ns)		 2566733(ns)		 2579626(ns)		2
 6 x 6		 11324578(ns)		 4902613(ns)		 4987321(ns)		2
 7 x 7		 16487114(ns)		 7697116(ns)		 7875430(ns)		2
 8 x 8		 48739474(ns)		 18780957(ns)		 18207868(ns)		2
 9 x 9		 109411516(ns)		 39032635(ns)		 37450356(ns)		2
 10 x 10	 445750366(ns)		 127973596(ns)		 131615797(ns)		2
 
 4 x 4		 655636(ns)		 1537108(ns)		 1259958(ns)		3
 5 x 5		 5352314(ns)		 3419137(ns)		 3436391(ns)		3
 6 x 6		 58350633(ns)		 24300888(ns)		 22377117(ns)		3
 7 x 7		 60292884(ns)		 27351712(ns)		 25237644(ns)		3
 8 x 8		 281387446(ns)		 95104046(ns)		 97016243(ns)		3
 9 x 9		 478025406(ns)		 159932853(ns)		 159497067(ns)		3
 10 x 10	 3917961424(ns)		 1119443683(ns)		 1126541665(ns)		3
 
 4 x 4		 1415594(ns)		 1678921(ns)		 1629322(ns)		4
 5 x 5		 12111958(ns)		 6968661(ns)		 6607261(ns)		4
 6 x 6		 162760617(ns)		 60666981(ns)		 57660996(ns)		4
 7 x 7		 165160926(ns)		 72308496(ns)		 71977672(ns)		4
 8 x 8		 1506830422(ns)		 478255411(ns)		 488894132(ns)		4
 9 x 9		 1557685096(ns)		 563706972(ns)		 562928515(ns)		4
 10 x 10	 15904238974(ns)	 4540263553(ns)		 4505743502(ns)		4
 
 4 x 4		 2475416(ns)		 2693104(ns)		 2646489(ns)		5
 5 x 5		 24996701(ns)		 14765458(ns)		 13499317(ns)		5
 6 x 6		 554035466(ns)		 212375641(ns)		 202539708(ns)		5
 7 x 7		 1137443596(ns)		 383596826(ns)		 382453086(ns)		5
 8 x 8		 3295191388(ns)		 1155795024(ns)		 1213309464(ns)		5
 9 x 9		 14601502575(ns)	 4551090041(ns)		 4532718992(ns)		5
 10 x 10	 31406712914(ns)	 10063231910(ns)	 9585250199(ns)		5
