 	R	m	p	throughput
	0  	1  	16  	32850
 	0  	2  	16  	16317
 	0  	4  	16  	15745
 	0  	6  	16  	16177
 	0  	8  	16  	15257
 	0  	10  	16  	15838
 	0  	1  	64  	23994
 	0  	2  	64  	16086
 	0  	4  	64  	15661
 	0  	6  	64  	15076
 	0  	8  	64  	15438
 	0  	10  	64  	15073
 	0  	1  	256  	32324
 	0  	2  	256  	16210
 	0  	4  	256  	16293
 	0  	6  	256  	16052
 	0  	8  	256  	15792
 	0  	10  	256  	14964
 	33  	1  	16  	48154
 	33  	2  	16  	23348
 	33  	4  	16  	24042
 	33  	6  	16  	23454
 	33  	8  	16  	23484
 	33  	10  	16  	23553
 	33  	1  	64  	34459
 	33  	2  	64  	24429
 	33  	4  	64  	22906
 	33  	6  	64  	22842
 	33  	8  	64  	21105
 	33  	10  	64  	22563
 	33  	1  	256  	40132
 	33  	2  	256  	24934
 	33  	4  	256  	21978
 	33  	6  	256  	23063
 	33  	8  	256  	21989
 	33  	10  	256  	21022
 	100  	1  	16  	1134752
 	100  	2  	16  	1563900
 	100  	4  	16  	2319978
 	100  	6  	16  	2701953
 	100  	8  	16  	2336589
 	100  	10  	16  	1702350
 	100  	1  	64  	1190462
 	100  	2  	64  	1529379
 	100  	4  	64  	1670968
 	100  	6  	64  	2600513
 	100  	8  	64  	2250985
 	100  	10  	64  	1507555
 	100  	1  	256  	737167
 	100  	2  	256  	1544747
 	100  	4  	256  	2188743
 	100  	6  	256  	2408612
 	100  	8  	256  	2064143
 	100  	10  	256  	1272817
