 	R	p	m	throughput
	0  	1  	16  	21339
 	0  	2  	16  	17783
 	0  	4  	16  	21227
 	0  	6  	16  	19903
 	0  	8  	16  	21234
 	0  	10  	16  	21851
 	0  	1  	64  	23067
 	0  	2  	64  	26192
 	0  	4  	64  	20964
 	0  	6  	64  	18206
 	0  	8  	64  	25088
 	0  	10  	64  	22414
 	0  	1  	256  	19430
 	0  	2  	256  	19594
 	0  	4  	256  	21465
 	0  	6  	256  	18893
 	0  	8  	256  	16546
 	0  	10  	256  	19655
 	33  	1  	16  	52331
 	33  	2  	16  	37838
 	33  	4  	16  	31664
 	33  	6  	16  	26357
 	33  	8  	16  	23387
 	33  	10  	16  	25257
 	33  	1  	64  	32825
 	33  	2  	64  	40695
 	33  	4  	64  	21936
 	33  	6  	64  	21279
 	33  	8  	64  	25090
 	33  	10  	64  	23233
 	33  	1  	256  	37924
 	33  	2  	256  	23917
 	33  	4  	256  	27901
 	33  	6  	256  	26173
 	33  	8  	256  	23497
 	33  	10  	256  	26138
 	100  	1  	16  	1852650
 	100  	2  	16  	3318000
 	100  	4  	16  	6188134
 	100  	6  	16  	6474116
 	100  	8  	16  	6775825
 	100  	10  	16  	6755426
 	100  	1  	64  	1863355
 	100  	2  	64  	3266610
 	100  	4  	64  	6246464
 	100  	6  	64  	6457364
 	100  	8  	64  	6752060
 	100  	10  	64  	6657131
 	100  	1  	256  	1833056
 	100  	2  	256  	3303327
 	100  	4  	256  	6225561
 	100  	6  	256  	6449310
 	100  	8  	256  	6543938
 	100  	10  	256  	6328972
