Haswell:					Sunlab:
 	R	p	m	throughput	R	p	m	throughput
	0  	1  	16  	1898026		0  	1  	16  	932673
 	0  	2  	16  	2311837	 	0  	2  	16  	1293711
 	0  	4  	16  	2854071	 	0  	4  	16  	2053146
 	0  	6  	16  	2802224	 	0  	6  	16  	2429767
 	0  	8  	16  	2487340	 	0  	8  	16  	1933556
 	0  	10  	16  	2270966	 	0  	10  	16  	1633784
 	0  	1  	64  	1926081	 	0  	1  	64  	1110488
 	0  	2  	64  	2343939	 	0  	2  	64  	1269778
 	0  	4  	64  	2914210	 	0  	4  	64  	2071727
 	0  	6  	64  	3032610	 	0  	6  	64  	2242070
 	0  	8  	64  	2687854	 	0  	8  	64  	2577631
 	0  	10  	64  	2528373	 	0  	10  	64  	1604532
 	0  	1  	256  	1924573	 	0  	1  	256  	1097766
 	0  	2  	256  	2395416	 	0  	2  	256  	1272616
 	0  	4  	256  	3006962	 	0  	4  	256  	2112816
 	0  	6  	256  	3149009	 	0  	6  	256  	1974371
 	0  	8  	256  	2841008	 	0  	8  	256  	2642393
 	0  	10  	256  	2657670	 	0  	10  	256  	1898558
 	33  	1  	16  	1892581	 	33  	1  	16  	1016046
 	33  	2  	16  	2499583	 	33  	2  	16  	1427173
 	33  	4  	16  	3290285	 	33  	4  	16  	2132313
 	33  	6  	16  	3315491	 	33  	6  	16  	2685121
 	33  	8  	16  	2935610	 	33  	8  	16  	2059095
 	33  	10  	16  	2807105	 	33  	10  	16  	1945590
 	33  	1  	64  	1927921	 	33  	1  	64  	1139537
 	33  	2  	64  	2544402	 	33  	2  	64  	1431777
 	33  	4  	64  	3307743	 	33  	4  	64  	2279395
 	33  	6  	64  	3493179	 	33  	6  	64  	2697078
 	33  	8  	64  	3247411	 	33  	8  	64  	2559931
 	33  	10  	64  	2843147	 	33  	10  	64  	1980930
 	33  	1  	256  	1922419	 	33  	1  	256  	1038239
 	33  	2  	256  	2585274	 	33  	2  	256  	1354786
 	33  	4  	256  	3436317	 	33  	4  	256  	2248007
 	33  	6  	256  	3670980	 	33  	6  	256  	2732655
 	33  	8  	256  	3303560	 	33  	8  	256  	3025600
 	33  	10  	256  	2959645	 	33  	10  	256  	2257263
 	100  	1  	16  	1941865	 	100  	1  	16  	1023699
 	100  	2  	16  	3447334	 	100  	2  	16  	1639072
 	100  	4  	16  	6379277	 	100  	4  	16  	2772778
 	100  	6  	16  	6637957	 	100  	6  	16  	2450052
 	100  	8  	16  	6925727	 	100  	8  	16  	3268048
 	100  	10  	16  	6901990	 	100  	10  	16  	3579707
 	100  	1  	64  	1987333	 	100  	1  	64  	1117469
 	100  	2  	64  	3487855	 	100  	2  	64  	1649008
 	100  	4  	64  	6515054	 	100  	4  	64  	2785526
 	100  	6  	64  	6740020	 	100  	6  	64  	3158551
 	100  	8  	64  	6930597	 	100  	8  	64  	3039865
 	100  	10  	64  	6881873	 	100  	10  	64  	3547381
 	100  	1  	256  	1993710	 	100  	1  	256  	1128556
 	100  	2  	256  	3480606	 	100  	2  	256  	1587056
 	100  	4  	256  	6556174	 	100  	4  	256  	2506964
 	100  	6  	256  	6749879	 	100  	6  	256  	3201369
 	100  	8  	256  	6938110	 	100  	8  	256  	3212397
 	100  	10  	256  	6921566	 	100  	10  	256  	3651898
