Haswell:					Sunlab:
	R	p	m	throughput	R	p	m	throughput
	0  	1  	16  	19522		0  	1  	16  	12466
 	0  	2  	16  	17730	 	0  	2  	16  	10441
 	0  	4  	16  	14826	 	0  	4  	16  	7930
 	0  	6  	16  	15263	 	0  	6  	16  	2988
 	0  	8  	16  	14384	 	0  	8  	16  	8083
 	0  	10  	16  	18397	 	0  	10  	16  	7229
 	0  	1  	64  	17632	 	0  	1  	64  	20696
 	0  	2  	64  	14964	 	0  	2  	64  	10298
 	0  	4  	64  	18384	 	0  	4  	64  	7200
 	0  	6  	64  	10630	 	0  	6  	64  	8320
 	0  	8  	64  	14154	 	0  	8  	64  	9473
 	0  	10  	64  	10465	 	0  	10  	64  	6535
 	0  	1  	256  	16824	 	0  	1  	256  	20122
 	0  	2  	256  	14675	 	0  	2  	256  	10237
 	0  	4  	256  	14717	 	0  	4  	256  	11123
 	0  	6  	256  	10465	 	0  	6  	256  	5514
 	0  	8  	256  	11491	 	0  	8  	256  	7280
 	0  	10  	256  	10197	 	0  	10  	256  	6047
 	33  	1  	16  	25015	 	33  	1  	16  	17983
 	33  	2  	16  	25016	 	33  	2  	16  	15743
 	33  	4  	16  	21092	 	33  	4  	16  	15091
 	33  	6  	16  	25578	 	33  	6  	16  	13116
 	33  	8  	16  	15520	 	33  	8  	16  	12084
 	33  	10  	16  	22932	 	33  	10  	16  	11820
 	33  	1  	64  	27260	 	33  	1  	64  	30617
 	33  	2  	64  	20783	 	33  	2  	64  	14873
 	33  	4  	64  	21822	 	33  	4  	64  	15549
 	33  	6  	64  	14816	 	33  	6  	64  	8223
 	33  	8  	64  	14892	 	33  	8  	64  	13871
 	33  	10  	64  	21434	 	33  	10  	64  	10999
 	33  	1  	256  	14463	 	33  	1  	256  	33494
 	33  	2  	256  	21972	 	33  	2  	256  	15063
 	33  	4  	256  	16080	 	33  	4  	256  	16496
 	33  	6  	256  	28506	 	33  	6  	256  	18991
 	33  	8  	256  	23794	 	33  	8  	256  	14070
 	33  	10  	256  	21609	 	33  	10  	256  	11298
 	100  	1  	16  	3895550	 	100  	1  	16  	2162973
 	100  	2  	16  	5683731	 	100  	2  	16  	2946296
 	100  	4  	16  	10793355	100  	4  	16  	4678905
 	100  	6  	16  	12279031	100  	6  	16  	4373767
 	100  	8  	16  	13578727	100  	8  	16  	6204524
 	100  	10  	16  	13605484	100  	10  	16  	6257990
 	100  	1  	64  	3883046	 	100  	1  	64  	2091300
 	100  	2  	64  	5692013	 	100  	2  	64  	2964085
 	100  	4  	64  	10737490	100  	4  	64  	2742138
 	100  	6  	64  	12063029	100  	6  	64  	5933656
 	100  	8  	64  	13563251	100  	8  	64  	5632863
 	100  	10  	64  	13546011	100  	10  	64  	6541909
 	100  	1  	256  	3865737	 	100  	1  	256  	2059790
 	100  	2  	256  	5674170	 	100  	2  	256  	2925273
 	100  	4  	256  	10627311	100  	4  	256  	4561905
 	100  	6  	256  	12177407	100  	6  	256  	2501431
 	100  	8  	256  	13486923	100  	8  	256  	5952218
 	100  	10  	256  	13323347	100  	10  	256  	7158548
