 	R	p	m	throughput
	0  	1  	16  	932673
 	0  	2  	16  	1293711
 	0  	4  	16  	2053146
 	0  	6  	16  	2429767
 	0  	8  	16  	1933556
 	0  	10  	16  	1633784
 	0  	1  	64  	1110488
 	0  	2  	64  	1269778
 	0  	4  	64  	2071727
 	0  	6  	64  	2242070
 	0  	8  	64  	2577631
 	0  	10  	64  	1604532
 	0  	1  	256  	1097766
 	0  	2  	256  	1272616
 	0  	4  	256  	2112816
 	0  	6  	256  	1974371
 	0  	8  	256  	2642393
 	0  	10  	256  	1898558
 	33  	1  	16  	1016046
 	33  	2  	16  	1427173
 	33  	4  	16  	2132313
 	33  	6  	16  	2685121
 	33  	8  	16  	2059095
 	33  	10  	16  	1945590
 	33  	1  	64  	1139537
 	33  	2  	64  	1431777
 	33  	4  	64  	2279395
 	33  	6  	64  	2697078
 	33  	8  	64  	2559931
 	33  	10  	64  	1980930
 	33  	1  	256  	1038239
 	33  	2  	256  	1354786
 	33  	4  	256  	2248007
 	33  	6  	256  	2732655
 	33  	8  	256  	3025600
 	33  	10  	256  	2257263
 	100  	1  	16  	1023699
 	100  	2  	16  	1639072
 	100  	4  	16  	2772778
 	100  	6  	16  	2450052
 	100  	8  	16  	3268048
 	100  	10  	16  	3579707
 	100  	1  	64  	1117469
 	100  	2  	64  	1649008
 	100  	4  	64  	2785526
 	100  	6  	64  	3158551
 	100  	8  	64  	3039865
 	100  	10  	64  	3547381
 	100  	1  	256  	1128556
 	100  	2  	256  	1587056
 	100  	4  	256  	2506964
 	100  	6  	256  	3201369
 	100  	8  	256  	3212397
 	100  	10  	256  	3651898
